"Title","Release.Year","Locations","Fun.Facts","Production.Company","Distributor","Director","Writer","Actor.1","Actor.2","Actor.3","lon","lat"
"Etruscan Smile",2017,"Jones @ Broadway","","Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch",-122.4152099,37.7968072
"Etruscan Smile",2017,"Broadway @ Jones Streets","","Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch",-122.4146993,37.7942592
"Looking Season 2 ep 209",2015,"68 Division Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4026916,37.7700948
"When We Rise",2017,"Castro St. between 17th and 18th St.","","Film 49 Productions","Amercian Broadcasting Company","Gus Van Sant","Dustin Lance Black","Guy Pierce","Mary-Louise Parker","Michael Kenneth Williams",-122.435291,37.7609603
"When We Rise",2017,"Bay Bridge","","Film 49 Productions","Amercian Broadcasting Company","Gus Van Sant","Dustin Lance Black","Guy Pierce","Mary-Louise Parker","Michael Kenneth Williams",-122.3778182,37.7982799
"Murder in the First, Season 1",2014,"Waverly Alley between Grant and Sacramento Streets","","Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale",-122.4064031,37.7934259
"Chance - Season 1 Pilot",2016,"Harvey Milk Rec Center, 50 Scott St.","","TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham and Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee",-122.4347583,37.7696027
"Looking Season 2 ep 206",2015,"770 Haight Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.43489,37.771831
"Etruscan Smile",2017,"Outpost Studios, 69 Green Street","","Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch",-122.4007583,37.800349
"Birth of the Dragon",2016,"Pier 45 - Jeremiah O'Brien Liberty Ship","The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia",-122.4181442,37.8110638
